"REF_DATE","GEO","DGUID","Income concept","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Nova Scotia","2021A000212","Adjusted after-tax income","Number","223","units","0","v96439650","5.3","0.264","B","","","3"
"2022","Nova Scotia","2021A000212","Adjusted after-tax income","Number","223","units","0","v96439650","5.3","0.280","A","","","3"
"2023","Nova Scotia","2021A000212","Adjusted after-tax income","Number","223","units","0","v96439650","5.3","0.273","A","","","3"
"2008","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.279","B","","","3"
"2009","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.287","B","","","3"
"2010","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.279","B","","","3"
"2011","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.289","B","","","3"
"2012","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.288","B","","","3"
"2013","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.281","B","","","3"
"2014","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.277","B","","","3"
"2015","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.273","B","","","3"
"2016","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.279","B","","","3"
"2017","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.278","A","","","3"
"2018","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.283","B","","","3"
"2019","New Brunswick","2021A000213","Adjusted after-tax income","Number","223","units","0","v96439653","6.3","0.272","B","","","3"
