"REF_DATE","GEO","DGUID","Index","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Nova Scotia","2016A000212","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789182","4.1.9","98.3","","","","1"
"2017","Nova Scotia","2016A000212","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789182","4.1.9","100.0","","","","1"
"2018","Nova Scotia","2016A000212","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789182","4.1.9","102.2","","","","1"
"2019","Nova Scotia","2016A000212","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789182","4.1.9","102.7","","","","1"
"2020","Nova Scotia","2016A000212","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789182","4.1.9","107.1","","","","1"
"2021","Nova Scotia","2016A000212","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789182","4.1.9","110.8","","","","1"
"2022","Nova Scotia","2016A000212","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789182","4.1.9","115.2","","","","1"
"2023","Nova Scotia","2016A000212","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789182","4.1.9","120.2","","","","1"
"2008","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","82.6","","","","1"
"2009","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","84.9","","","","1"
"2010","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","85.4","","","","1"
"2011","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","89.1","","","","1"
"2012","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","92.0","","","","1"
"2013","New Brunswick","2016A000213","Implicit price indexes","General governments final consumption expenditure","Index, 2017=100","373","units","0","v62789255","5.1.9","94.5","","","","1"
