"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","9.4","","","","1"
"2010","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","9.6","","","","1"
"2011","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","9.0","","","","1"
"2012","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","9.3","","","","1"
"2013","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","9.1","","","","1"
"2014","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","9.1","","","","1"
"2015","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","8.9","","","","1"
"2016","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","8.4","","","","1"
"2017","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","8.7","","","","1"
"2018","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","7.9","","","","1"
"2019","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","7.5","","","","1"
"2020","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","9.9","","","","1"
"2021","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","8.6","","","","1"
"2022","Nova Scotia","2021A000212","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063544180","4.8.1.1","6.6","","","","1"
