"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","New Brunswick","2016A000213","Gross domestic product at market prices","Dollars","81","millions","6","v62783275","5.14","30269","","","","0"
"2011","New Brunswick","2016A000213","Gross domestic product at market prices","Dollars","81","millions","6","v62783275","5.14","31561","","","","0"
"2012","New Brunswick","2016A000213","Gross domestic product at market prices","Dollars","81","millions","6","v62783275","5.14","31797","","","","0"
"2013","New Brunswick","2016A000213","Gross domestic product at market prices","Dollars","81","millions","6","v62783275","5.14","31891","","","","0"
"2014","New Brunswick","2016A000213","Gross domestic product at market prices","Dollars","81","millions","6","v62783275","5.14","32462","","","","0"
"2015","New Brunswick","2016A000213","Gross domestic product at market prices","Dollars","81","millions","6","v62783275","5.14","33453","","","","0"
"2016","New Brunswick","2016A000213","Gross domestic product at market prices","Dollars","81","millions","6","v62783275","5.14","34330","","","","0"
"2017","New Brunswick","2016A000213","Gross domestic product at market prices","Dollars","81","millions","6","v62783275","5.14","35828","","","","0"
"2018","New Brunswick","2016A000213","Gross domestic product at market prices","Dollars","81","millions","6","v62783275","5.14","37158","","","","0"
"2019","New Brunswick","2016A000213","Gross domestic product at market prices","Dollars","81","millions","6","v62783275","5.14","38057","","","","0"
"2020","New Brunswick","2016A000213","Gross domestic product at market prices","Dollars","81","millions","6","v62783275","5.14","37354","","","","0"
"2021","New Brunswick","2016A000213","Gross domestic product at market prices","Dollars","81","millions","6","v62783275","5.14","41290","","","","0"
"2022","New Brunswick","2016A000213","Gross domestic product at market prices","Dollars","81","millions","6","v62783275","5.14","45571","","","","0"
"2023","New Brunswick","2016A000213","Gross domestic product at market prices","Dollars","81","millions","6","v62783275","5.14","47035","","","","0"
"2008","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","315382","","","","0"
"2009","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","315540","","","","0"
"2010","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","329129","","","","0"
"2011","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","345763","","","","0"
"2012","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","355253","","","","0"
"2013","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","365802","","","","0"
"2014","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","376878","","","","0"
"2015","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","387667","","","","0"
"2016","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","399225","","","","0"
"2017","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","418674","","","","0"
"2018","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","439685","","","","0"
"2019","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","459816","","","","0"
"2020","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","451344","","","","0"
"2021","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","507464","","","","0"
"2022","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","551681","","","","0"
"2023","Quebec","2016A000224","Gross domestic product at market prices","Dollars","81","millions","6","v62783289","6.14","579460","","","","0"
"2008","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","609126","","","","0"
"2009","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","598521","","","","0"
"2010","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","631636","","","","0"
"2011","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","660436","","","","0"
"2012","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","680791","","","","0"
"2013","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","696192","","","","0"
"2014","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","727042","","","","0"
"2015","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","760435","","","","0"
"2016","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","790749","","","","0"
"2017","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","824979","","","","0"
"2018","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","860104","","","","0"
"2019","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","893224","","","","0"
"2020","Ontario","2016A000235","Gross domestic product at market prices","Dollars","81","millions","6","v62783303","7.14","874354","","","","0"
